constituency_code,constituency_name,leading_party,lead_pct,second_party,second_pct,margin_pct
E14001073,Barking,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001081,Battersea,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001083,Beckenham and Penge,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001085,Bermondsey and Old Southwark,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001086,Bethnal Green and Stepney,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001089,Bexleyheath and Crayford,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001122,Brent East,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001123,Brent West,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001124,Brentford and Isleworth,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001137,Bromley and Biggin Hill,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001153,Carshalton and Wallington,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001160,Chelsea and Fulham,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001167,Chingford and Woodford Green,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001169,Chipping Barnet,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001172,Cities of London and Westminster,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001175,Clapham and Brixton Hill,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001186,Croydon East,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001187,Croydon South,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001188,Croydon West,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001189,Dagenham and Rainham,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001205,Dulwich and West Norwood,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001207,Ealing Central and Acton,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001208,Ealing North,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001209,Ealing Southall,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001213,East Ham,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001221,Edmonton and Winchmore Hill,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001223,Eltham and Chislehurst,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001225,Enfield North,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001229,Erith and Thamesmead,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001236,Feltham and Heston,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001238,Finchley and Golders Green,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001257,Greenwich and Woolwich,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001259,Hackney North and Stoke Newington,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001260,Hackney South and Shoreditch,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001264,Hammersmith and Chiswick,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001265,Hampstead and Highgate,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001270,Harrow East,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001271,Harrow West,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001276,Hayes and Harlington,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001279,Hendon,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001290,Holborn and St Pancras,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001292,Hornchurch and Upminster,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001293,Hornsey and Friern Barnet,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001300,Ilford North,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001301,Ilford South,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001305,Islington North,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001306,Islington South and Finsbury,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001310,Kensington and Bayswater,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001312,Kingston and Surbiton,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001331,Lewisham East,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001332,Lewisham North,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001333,Lewisham West and East Dulwich,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001334,Leyton and Wanstead,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001371,Mitcham and Morden,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001414,Old Bexley and Sidcup,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001417,Orpington,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001421,Peckham,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001430,Poplar and Limehouse,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001434,Putney,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001435,Queen's Park and Maida Vale,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001445,Richmond Park,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001448,Romford,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001454,"Ruislip, Northwood and Pinner",Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001503,Southgate and Wood Green,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001525,Stratford and Bow,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001527,Streatham and Croydon North,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001534,Sutton and Cheam,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001550,Tooting,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001553,Tottenham,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001556,Twickenham,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001558,Uxbridge and South Ruislip,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001559,Vauxhall and Camberwell Green,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001563,Walthamstow,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001576,West Ham and Beckton,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
E14001586,Wimbledon,Reform UK,33.27382040171222,Conservative,20.867995344314398,12.405825057397827
